CMDLINE python particle_weight.py
MEM 611.671875 1626202036.9311
MEM 596.101562 1626202037.0377
MEM 589.964844 1626202037.1433
MEM 576.207031 1626202037.2507
MEM 558.773438 1626202037.3600
MEM 543.640625 1626202037.4648
MEM 529.878906 1626202037.5701
MEM 522.941406 1626202037.6780
MEM 504.691406 1626202037.7843
MEM 486.484375 1626202037.8957
MEM 499.449219 1626202038.0010
MEM 491.859375 1626202038.1077
MEM 504.699219 1626202038.2169
MEM 507.488281 1626202038.3230
MEM 507.402344 1626202038.4344
MEM 523.609375 1626202038.5448
MEM 494.519531 1626202038.6521
MEM 483.355469 1626202038.7613
MEM 487.777344 1626202038.8708
MEM 475.476562 1626202038.9784
MEM 479.257812 1626202039.0841
MEM 491.351562 1626202039.1929
MEM 505.449219 1626202039.2983
MEM 497.183594 1626202039.4067
MEM 510.125000 1626202039.5127
MEM 547.820312 1626202039.6198
MEM 563.218750 1626202039.7302
MEM 553.632812 1626202039.8357
MEM 556.398438 1626202039.9442
MEM 571.742188 1626202040.0506
MEM 582.675781 1626202040.1590
MEM 597.933594 1626202040.2669
MEM 606.492188 1626202040.3728
MEM 627.296875 1626202040.4824
MEM 634.503906 1626202040.5920
MEM 639.910156 1626202040.6983
MEM 642.128906 1626202040.8059
MEM 628.496094 1626202040.9130
MEM 616.710938 1626202041.0260
MEM 624.398438 1626202041.1312
MEM 633.195312 1626202041.2417
MEM 659.402344 1626202041.3492
MEM 711.437500 1626202041.4552
MEM 764.281250 1626202041.5625
MEM 800.960938 1626202041.6682
MEM 846.316406 1626202041.7772
MEM 910.687500 1626202041.8836
MEM 973.550781 1626202041.9888
MEM 996.746094 1626202042.0950
MEM 940.367188 1626202042.1996
MEM 882.921875 1626202042.3048
MEM 835.710938 1626202042.4123
MEM 815.308594 1626202042.5198
MEM 818.324219 1626202042.6289
MEM 802.164062 1626202042.7341
MEM 754.574219 1626202042.8458
MEM 733.988281 1626202042.9544
MEM 733.824219 1626202043.0663
MEM 733.640625 1626202043.1729
MEM 729.980469 1626202043.2874
MEM 739.625000 1626202043.3956
MEM 784.613281 1626202043.5004
MEM 824.925781 1626202043.6072
MEM 766.097656 1626202043.7123
MEM 703.011719 1626202043.8211
MEM 697.476562 1626202043.9300
MEM 694.964844 1626202044.0362
MEM 734.574219 1626202044.1464
MEM 782.898438 1626202044.2537
MEM 828.769531 1626202044.3608
MEM 884.191406 1626202044.4680
MEM 884.734375 1626202044.5728
MEM 854.648438 1626202044.6779
MEM 800.464844 1626202044.7828
MEM 794.289062 1626202044.8890
MEM 795.113281 1626202044.9976
MEM 793.562500 1626202045.1045
MEM 795.371094 1626202045.2147
MEM 810.140625 1626202045.3203
MEM 818.894531 1626202045.4280
MEM 826.000000 1626202045.5334
MEM 834.597656 1626202045.6424
MEM 831.843750 1626202045.7502
MEM 832.371094 1626202045.8569
MEM 832.125000 1626202045.9648
MEM 826.527344 1626202046.0733
MEM 843.058594 1626202046.1805
MEM 848.656250 1626202046.2892
MEM 849.906250 1626202046.3980
MEM 854.222656 1626202046.5043
MEM 855.171875 1626202046.6125
MEM 857.160156 1626202046.7187
MEM 857.871094 1626202046.8271
MEM 859.964844 1626202046.9314
MEM 860.207031 1626202047.0399
MEM 863.429688 1626202047.1491
MEM 863.152344 1626202047.2549
MEM 867.617188 1626202047.3612
MEM 829.152344 1626202047.4667
MEM 811.152344 1626202047.5711
MEM 858.351562 1626202047.6770
MEM 904.828125 1626202047.7835
MEM 905.132812 1626202047.8877
MEM 907.261719 1626202047.9933
MEM 908.109375 1626202048.1011
MEM 913.414062 1626202048.2050
MEM 914.527344 1626202048.3111
MEM 869.933594 1626202048.4159
MEM 817.347656 1626202048.5215
MEM 867.183594 1626202048.6313
MEM 929.828125 1626202048.7403
MEM 937.664062 1626202048.8506
MEM 965.691406 1626202048.9595
MEM 986.828125 1626202049.0638
MEM 995.722656 1626202049.1702
MEM 994.269531 1626202049.2766
MEM 992.640625 1626202049.3817
MEM 993.933594 1626202049.4871
MEM 992.875000 1626202049.5934
MEM 995.074219 1626202049.7037
MEM 983.894531 1626202049.8102
MEM 995.714844 1626202049.9161
MEM 999.738281 1626202050.0223
MEM 1022.394531 1626202050.1305
MEM 1023.937500 1626202050.2359
MEM 1019.867188 1626202050.3464
MEM 1015.160156 1626202050.4514
MEM 1014.015625 1626202050.5558
MEM 1018.667969 1626202050.6660
MEM 1016.261719 1626202050.7728
MEM 1010.898438 1626202050.8843
MEM 1014.503906 1626202050.9926
MEM 1013.863281 1626202051.1008
MEM 1012.929688 1626202051.2076
MEM 1012.906250 1626202051.3138
MEM 1013.207031 1626202051.4220
MEM 1012.558594 1626202051.5325
MEM 1011.531250 1626202051.6376
MEM 1011.933594 1626202051.7451
MEM 1011.824219 1626202051.8553
MEM 1010.992188 1626202051.9601
MEM 993.523438 1626202052.0653
MEM 995.222656 1626202052.1700
MEM 1013.234375 1626202052.2781
MEM 1009.062500 1626202052.3827
